ruimteverwarming,sanitair warm water,elektriciteit,,,totaal,bron
7.47E-05,2.82E-05,4.65E-05,,,,
7.47E-05,2.82E-05,4.55E-05,,,,
7.47E-05,2.82E-05,0.000044939,,,,
7.47E-05,2.82E-05,4.41E-05,,,,
6.50E-05,9.68E-06,4.29E-05,,,,
6.50E-05,9.68E-06,4.16E-05,,,,
6.50E-05,9.68E-06,4.07E-05,,,,
6.50E-05,9.68E-06,4.06E-05,,,,
4.77E-05,1.24E-05,3.86E-05,,,,
4.77E-05,1.24E-05,3.70E-05,,,,
4.77E-05,1.24E-05,3.48E-05,,,,
4.77E-05,1.24E-05,3.26E-05,,,,
3.43E-05,6.25E-06,2.89E-05,,,,
3.43E-05,6.25E-06,2.67E-05,,,,
3.43E-05,6.25E-06,2.50E-05,,,,
3.43E-05,6.25E-06,2.29E-05,,,,
2.86E-05,2.83E-06,2.16E-05,,,,
2.86E-05,2.83E-06,1.94E-05,,,,
2.86E-05,2.83E-06,1.91E-05,,,,
2.86E-05,2.83E-06,1.81E-05,,,,
2.77E-05,2.14E-06,1.74E-05,,,,
2.77E-05,2.14E-06,1.75E-05,,,,
2.77E-05,2.14E-06,1.73E-05,,,,
2.77E-05,2.14E-06,1.75E-05,,,,
2.83E-05,2.14E-06,0.000017048,,,,
2.83E-05,2.14E-06,1.70E-05,,,,
2.83E-05,2.14E-06,0.000016784,,,,
2.83E-05,2.14E-06,1.65E-05,,,,
2.99E-05,2.83E-06,1.60E-05,,,,
2.99E-05,2.83E-06,1.56E-05,,,,
2.99E-05,2.83E-06,1.51E-05,,,,
2.99E-05,2.83E-06,1.50E-05,,,,
3.49E-05,4.88E-06,0.000015377,,,,
3.49E-05,4.88E-06,1.57E-05,,,,
3.49E-05,4.88E-06,1.62E-05,,,,
3.49E-05,4.88E-06,1.62E-05,,,,
4.90E-05,6.94E-06,1.63E-05,,,,
4.90E-05,6.94E-06,1.64E-05,,,,
4.90E-05,6.94E-06,1.74E-05,,,,
4.90E-05,6.94E-06,1.80E-05,,,,
8.20E-05,1.24E-05,2.07E-05,,,,
8.20E-05,1.24E-05,2.26E-05,,,,
8.20E-05,1.24E-05,2.50E-05,,,,
8.20E-05,1.24E-05,2.76E-05,,,,
9.14E-05,6.38E-05,2.91E-05,,,,
9.14E-05,6.38E-05,3.18E-05,,,,
9.14E-05,6.38E-05,3.42E-05,,,,
9.14E-05,6.38E-05,3.50E-05,,,,
8.53E-05,0.000107623,3.64E-05,,,,
8.53E-05,0.000107623,3.67E-05,,,,
8.53E-05,0.000107623,3.62E-05,,,,
8.53E-05,0.000107623,3.55E-05,,,,
7.87E-05,5.56E-05,3.59E-05,,,,
7.87E-05,5.56E-05,3.63E-05,,,,
7.87E-05,5.56E-05,3.58E-05,,,,
7.87E-05,5.56E-05,3.48E-05,,,,
7.28E-05,5.15E-05,3.51E-05,,,,
7.28E-05,5.15E-05,3.50E-05,,,,
7.28E-05,5.15E-05,3.49E-05,,,,
7.28E-05,5.15E-05,0.0000344,,,,
6.96E-05,4.80E-05,3.54E-05,,,,
6.96E-05,4.80E-05,3.68E-05,,,,
6.96E-05,4.80E-05,3.78E-05,,,,
6.96E-05,4.80E-05,3.75E-05,,,,
6.77E-05,4.53E-05,3.64E-05,,,,
6.77E-05,4.53E-05,3.52E-05,,,,
6.77E-05,4.53E-05,3.43E-05,,,,
6.77E-05,4.53E-05,0.000033361,,,,
